initials,name,capital,latitude,longitude
AL,Alabama,Birmingham,33.5205556,-86.8025
AK,Alaska,Anchorage,61.2180556,-149.9002778
AZ,Arizona,Phoenix,33.448457,-112.073844
AR,Arkansas,Little Rock,34.736009,-92.331122
CA,California,Sacramento,38.555605,-121.468926
CA,California,San Francisco,37.775,-122.4183333
CA,California,San Diego,32.7152778,-117.1563889
CA,California,Los Angeles,34.0522222,-118.2427778
CO,Colorado,Denver,39.7391667,-104.984167
FL,Florida,Miami,25.7738889,-80.1938889
FL,Florida,Tampa,27.9472222,-82.4586111
GA,Georgia,Atlanta,33.76,-84.39
HI,Hawaii,Honolulu,21.30895,-157.826182
ID,Idaho,Boise,43.613739,-116.237651
IL,Illinois,Chicago,41.8781136,-87.6297982
IN,Indiana,Indianapolis,39.790942,-86.147685
IA,Iowa,Des Moines,41.590939,-93.620866
KY,Kentucky,Frankfort,38.197274,-84.86311
MA,Massachusetts,Boston,42.2352,-71.0275
MI,Michigan,Detriot,42.3313889,-83.0458333
MI,Michigan,Grand Rapids,42.963601,-85.66878
MN,Minnesota,Minneapolis,44.98,-93.2636111
MO,Missouri,St.Louis,38.6272222,-90.1977778
MO,Missouri,Kansas City,39.0997222,-94.5783333
NE,Nebraska,Omaha,41.2586111,-95.9375
NV,Nevada,Las Vegas,36.175,-115.1363889
NM,New Mexico,Santa Fe,35.667231,-105.964575
NY,New York,Albany,42.659829,-73.781339
NY,New York,New York City,40.7141667,-74.0063889
NC,North Carolina,Raleigh,35.771,-78.638
NC,North Carolina,Asheville,35.6008333,-82.5541667
OH,Ohio,Cincinnati,39.1619444,-84.4569444
OR,Oregon,Portland,45.5236111,-122.675
OR,Oregon,Redmond,44.2727778,-121.1727778
PA,Pennsylvania,Philadelphia,39.9522222,-75.1641667
PA,Pennsylvania,Pittsburgh,40.4405556,-79.9961111
SC,South Carolina,Charleston,32.7763889,-79.9311111
TN,Tennessee,Nashville,36.165,-86.784
TX,Texas,Austin,30.266667,-97.75
TX,Texas,Dallas,32.7833333,-96.8
TX,Texas,Houston,29.7630556,-95.3630556
UT,Utah,Salt Lake City,40.7547,-111.892622
VT,Vermont,Montpelier,44.26639,-72.57194
VA,Virginia,Richmond,37.54,-77.46
WA,Washington,Seattle,47.6063889,-122.3308333
WV,West Virginia,Charleston,38.349497,-81.633294
WI,Wisconsin,Madison,43.074722,-89.384444
WI,Wisconsin,Milwaukee,43.0388889,-87.9063889
WY,Wyoming,Cheyenne,41.145548,-104.802042
DC,DC,Washington DC,38.895,-77.0366667
