"id","name","website","established","isOrganic","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","numberCode","description","phone","yearOpened","images__icon","images__medium","images__large","hoursOfOperation","extendedAddress","yearClosed","mailingListUrl"
"ivXuST","Brauhaus am Lohberg","http://www.brauhaus-wismar.de/","1995","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Kleine Hohe Str. 15","Wismar","Mecklenburg-Vorpommern","23966","53.895343","11.461131","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"tAo1LY","Brauhaus am Markt","http://brauhausammarkt.jimdo.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Stiftsplatz 2","Kaiserslautern","Rheinland-Palatinate","67655","49.444168","7.771493","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"sysVGG","Brauhaus am Schlössle","http://www.brauhaus-am-schloessle.de/","2007","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Backnanger Straße 78","Sulzbach an der Murr","Baden-Württemberg","71560","49.003998","9.496325","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"ps8MZO","Brauhaus am Waldschlösschen","http://www.waldschloesschen.de/","1836","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Am Brauhaus 8b","Dresden","Sachsen","1099","51.0675565","13.7781047","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","Brauhaus am Waldschlösschen is a traditional restaurant for the whole family, a brewery experience and a cocktail bar.    The pleasant atmosphere and cosy hospitality simply demand that you stay awhile. In addition to the typical fare of a brewery, you can enjoy both classics of home-style cooking and light Mediterranean dishes. Outstanding live musicians provide for your evening entertainment, and monthly events round off the Brauhaus calendar. The children, furthermore, can look forward to some fantastic surprises …","+49 351 - 652 39 00","1836","","","","","","",""
"jw2viZ","Brauhaus Bohnsdorf","http://www.brauhaus-bohnsdorf.com/","2008","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Buntzelstrasse 89 Bohnsdorf","Berlin","Berlin","12526","52.401995","13.56507","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"EDRBaP","Brauhaus Bönnsch","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Sterntorbrücke 4","Bonn","Nordrhein-Westfalen","D-53111","50.703131","7.121055","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"fTKNfx","Brauhaus Castel","http://www.brauhaus-castel.de/","1990","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Otto-Suhr Ring 27","Mainz-Kastel","Hesse","55252","50.01748","8.292084","Y","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","276","","","","","","","","","",""
"tICUo1","Brauhaus Ehrstein","http://www.brauhaus-ehrstein.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Im Handschuhteich 3","Hinterweidenthal","Rhineland-Palatinate","66999","49.196888","7.749332","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"UI6I9b","Brauhaus Ernst August","http://www.brauhaus.net/","1986","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Schmiedestraße 13","Hannover","Lower Saxony","30159","52.372278","9.738157","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"9kidXn","Brauhaus Espelkamp","http://www.brauhaus-espelkamp.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","General-Bishop-Sraße 16","Espelkamp","North Rhine-Westphalia","32339","52.387114","8.622368","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
